Atom positions and velocities over time grids from Ground truth
 0.6244  3.0436  0.7524  0.8089  1.6752  3.7202  4.1439  1.4037  1.8389  3.0270
 0.6320  3.0485  0.7666  0.8116  1.6821  3.7103  4.1392  1.4062  1.8503  3.0432

 1.5846  0.5587  4.0288  2.9511  2.0315  2.9791  3.9999  3.3120  3.2145  1.6555
 1.5813  0.5584  4.0203  2.9309  2.0331  2.9735  4.0200  3.3273  3.1915  1.6465
 1.5777  0.5582  4.0107  2.9108  2.0354  2.9680  4.0401  3.3426  3.1681  1.6401
 1.5740  0.5582  4.0006  2.8907  2.0384  2.9626  4.0597  3.3579  3.1447  1.6359
 1.5702  0.5583  3.9903  2.8707  2.0421  2.9573  4.0783  3.3732  3.1215  1.6331
 1.5664  0.5586  3.9800  2.8510  2.0464  2.9522  4.0954  3.3885  3.0987  1.6314
 1.5626  0.5591  3.9697  2.8315  2.0514  2.9471  4.1103  3.4038  3.0762  1.6305
 1.5588  0.5597  3.9596  2.8125  2.0569  2.9422  4.1225  3.4191  3.0540  1.6300

 3.7734  2.4150  0.6916  3.4065  4.1418  0.6778 -0.5063  1.7073  1.6383 -0.3919
 3.7762  2.4110  0.7106  3.4041  4.1459  0.6585 -0.1710  1.6603  1.6554 -0.4583
 3.7792  2.4073  0.7309  3.4019  4.1457  0.6369  0.1175  1.6137  1.6729 -0.5376
 3.7823  2.4037  0.7517  3.3999  4.1417  0.6140  0.3137  1.5682  1.6907 -0.6309
 3.7857  2.4001  0.7728  3.3980  4.1349  0.5905  0.4079  1.5249  1.7091 -0.7385
 3.7892  2.3963  0.7940  3.3963  4.1261  0.5674  0.4164  1.4842  1.7283 -0.8592
 3.7929  2.3923  0.8151  3.3947  4.1160  0.5457  0.3667  1.4463  1.7487 -0.9903
 3.7969  2.3880  0.8359  3.3933  4.1052  0.5260  0.2896  1.4105  1.7715 -1.1273

 0.7870  1.6957 -0.4967 -0.8804 -0.3888  0.6364 -0.9993  0.0667 -1.9295  0.7629
 0.7803  1.7426 -0.4758 -0.8777 -0.3782  0.5262 -0.9675  0.0402 -1.9313  0.7363
 0.7728  1.7859 -0.4507 -0.8722 -0.3704  0.4130 -0.9135  0.0219 -1.9217  0.6897
 0.7635  1.8254 -0.4179 -0.8629 -0.3650  0.2912 -0.8311  0.0101 -1.9026  0.6248
 0.7519  1.8606 -0.3740 -0.8487 -0.3610  0.1560 -0.7185  0.0030 -1.8766  0.5461
 0.7385  1.8910 -0.3160 -0.8286 -0.3584  0.0110 -0.5834 -0.0007 -1.8474  0.4602
 0.7241  1.9151 -0.2432 -0.8016 -0.3578 -0.1289 -0.4432 -0.0022 -1.8203  0.3745
 0.7102  1.9313 -0.1583 -0.7670 -0.3604 -0.2444 -0.3184 -0.0025 -1.8023  0.2945

-0.3126 -0.6282  0.1352  0.6155 -0.6066  0.7689  0.7746 -1.0549 -1.7350 -1.8108
-0.2705 -0.6332  0.1152  0.5968 -0.5569  0.7493  0.7184 -1.0555 -2.1001 -1.7952
-0.2282 -0.6369  0.0976  0.5804 -0.5166  0.7155  0.6617 -1.0573 -2.4052 -1.7786
-0.1858 -0.6424  0.0809  0.5660 -0.4811  0.6644  0.6066 -1.0604 -2.6214 -1.7610
-0.1433 -0.6533  0.0636  0.5536 -0.4472  0.5919  0.5549 -1.0644 -2.7479 -1.7420
-0.1006 -0.6740  0.0445  0.5428 -0.4133  0.4940  0.5078 -1.0689 -2.8024 -1.7215
-0.0578 -0.7100  0.0233  0.5333 -0.3787  0.3682  0.4663 -1.0734 -2.8052 -1.6995
-0.0150 -0.7677  0.0005  0.5248 -0.3434  0.2151  0.4307 -1.0773 -2.7692 -1.6758

 0.6904 -0.5306  1.0139 -0.7330  0.2640  1.8924 -0.5484  0.1039  1.1888 -0.2335
 0.7211 -0.4559  1.0026 -0.6988  0.2224  1.9114 -0.4689  0.1161  0.8825 -0.1202
 0.7327 -0.3566  0.9883 -0.6557  0.1862  1.9199 -0.4046  0.1364  0.6403  0.0256
 0.7394 -0.2369  0.9707 -0.5991  0.1521  1.9207 -0.3571  0.1671  0.4926  0.2006
 0.7486 -0.1042  0.9492 -0.5235  0.1182  1.9163 -0.3236  0.2109  0.4418  0.3950
 0.7640  0.0324  0.9229 -0.4239  0.0840  1.9082 -0.3004  0.2684  0.4735  0.5942
 0.7882  0.1635  0.8907 -0.2968  0.0500  1.8975 -0.2842  0.3367  0.5672  0.7822
 0.8226  0.2814  0.8512 -0.1425  0.0172  1.8849 -0.2734  0.4090  0.7015  0.9458

 0.8547 -0.4217  0.2116 -0.9497  0.8735  1.6546  1.3542  0.1490 -0.7982  2.3108
 0.8781 -0.4375  0.1571 -0.9565  0.9650  1.6261  1.7153  0.1497 -0.7848  2.3029
 0.9011 -0.4573  0.1233 -0.9635  0.9979  1.5973  2.0234  0.1288 -0.7545  2.2924
 0.9222 -0.4815  0.1108 -0.9695  0.9701  1.5691  2.2403  0.0796 -0.7028  2.2809
 0.9393 -0.5105  0.1184 -0.9731  0.8831  1.5420  2.3537  0.0077 -0.6284  2.2694
 0.9496 -0.5437  0.1443 -0.9720  0.7456  1.5167  2.3669 -0.0662 -0.5371  2.2589
 0.9491 -0.5804  0.1863 -0.9628  0.5753  1.4934  2.2836 -0.1072 -0.4420  2.2499
 0.9326 -0.6185  0.2420 -0.9411  0.3958  1.4726  2.0992 -0.0734 -0.3585  2.2426

-0.1843 -0.7021  0.0665  2.1308  1.0131 -1.0875 -0.2357  0.1032 -0.2656 -1.6700
-0.1604 -0.7928  0.0744  2.1395  0.8997 -1.0620 -0.2411  0.1234 -0.2538 -1.6366
-0.1353 -0.8768  0.0819  2.1405  0.7497 -1.0356 -0.2517  0.1442 -0.2418 -1.6021
-0.1065 -0.9566  0.0890  2.1308  0.5673 -1.0087 -0.2666  0.1654 -0.2307 -1.5671
-0.0714 -1.0328  0.0954  2.1061  0.3628 -0.9815 -0.2849  0.1869 -0.2213 -1.5314
-0.0279 -1.1039  0.1012  2.0611  0.1514 -0.9541 -0.3058  0.2093 -0.2144 -1.4943
 0.0260 -1.1671  0.1062  1.9904 -0.0503 -0.9266 -0.3288  0.2332 -0.2106 -1.4548
 0.0916 -1.2187  0.1103  1.8892 -0.2290 -0.8992 -0.3531  0.2597 -0.2104 -1.4115

-0.8526 -1.1669 -0.1707  0.9500 -0.9243 -1.7210 -0.6450 -0.4245 -2.0000  1.5923
-0.5770 -1.1654 -0.1730  0.9580 -0.9039 -1.7001 -0.5916 -0.4098 -2.1026  1.1972
-0.3179 -1.1651 -0.1777  0.9800 -0.8841 -1.6744 -0.5276 -0.3898 -2.1985  0.8272
-0.0976 -1.1656 -0.1793  1.0150 -0.8648 -1.6456 -0.4556 -0.3656 -2.2817  0.5124
 0.0864 -1.1663 -0.1720  1.0600 -0.8466 -1.6154 -0.3782 -0.3382 -2.3515  0.2553
 0.2441 -1.1669 -0.1502  1.1111 -0.8304 -1.5852 -0.2980 -0.3093 -2.4100  0.0412
 0.3779 -1.1672 -0.1091  1.1639 -0.8173 -1.5566 -0.2178 -0.2805 -2.4604 -0.1449
 0.4792 -1.1668 -0.0464  1.2144 -0.8091 -1.5311 -0.1403 -0.2539 -2.5051 -0.3102

-0.3545  1.1550  0.6742 -0.6247 -0.5345 -0.7739 -0.1033  0.4807  1.4606  0.3735
-0.3885  1.1115  0.6593 -0.6209 -0.5772 -0.7716 -0.0427  0.4842  1.4514  0.6721
-0.4615  1.0633  0.6453 -0.6065 -0.6020 -0.7703  0.0558  0.4878  1.4492  0.8416
