Atom positions and velocities over time grids from ground truth
-0.4333 -0.6188  1.0280 -0.8310  0.5668  1.6375 -0.7360  0.1281  2.1493 -0.4314
 0.0993 -0.6189  1.0291 -0.8116  0.4687  1.7353 -0.7481  0.1078  2.0002 -0.4093
 0.4374 -0.6079  1.0271 -0.7881  0.3835  1.8082 -0.7065  0.0986  1.7857 -0.3727
 0.6124 -0.5802  1.0220 -0.7621  0.3160  1.8594 -0.6332  0.0979  1.5067 -0.3160
 0.6904 -0.5306  1.0139 -0.7330  0.2640  1.8924 -0.5484  0.1039  1.1888 -0.2335

 0.7730 -0.3873  0.5344 -0.9347  0.0331  1.7084  0.3015  0.1616 -0.7663  2.2467
 0.7906 -0.3927  0.4552 -0.9361  0.2966  1.7149  0.4601  0.1443 -0.7817  2.2889
 0.8103 -0.3999  0.3682 -0.9392  0.5322  1.7030  0.6908  0.1369 -0.7934  2.3084
 0.8318 -0.4094  0.2840 -0.9438  0.7273  1.6812  0.9963  0.1404 -0.7998  2.3138
 0.8547 -0.4217  0.2116 -0.9497  0.8735  1.6546  1.3542  0.1490 -0.7982  2.3108

-0.3233 -0.1959  0.0331  2.0469  1.1612 -1.1738 -0.2855  0.0377 -0.2980 -1.7726
-0.2752 -0.3493  0.0413  2.0748  1.1592 -1.1553 -0.2622  0.0508 -0.2926 -1.7550
-0.2388 -0.4842  0.0498  2.0979  1.1378 -1.1345 -0.2457  0.0664 -0.2854 -1.7307
-0.2095 -0.6008  0.0583  2.1166  1.0911 -1.1118 -0.2369  0.0840 -0.2763 -1.7018
-0.1843 -0.7021  0.0665  2.1308  1.0131 -1.0875 -0.2357  0.1032 -0.2656 -1.6700

-1.3085 -1.1986 -0.2792  0.9919 -1.0120 -1.6886 -0.7013 -0.4272 -1.6420  2.6473
-1.3359 -1.1853 -0.2313  0.9806 -0.9893 -1.7252 -0.7144 -0.4343 -1.7284  2.4956
-1.2674 -1.1761 -0.1955  0.9665 -0.9669 -1.7377 -0.7087 -0.4367 -1.8104  2.2703
-1.0983 -1.1702 -0.1764  0.9543 -0.9452 -1.7346 -0.6849 -0.4336 -1.9003  1.9639
-0.8526 -1.1669 -0.1707  0.9500 -0.9243 -1.7210 -0.6450 -0.4245 -2.0000  1.5923

-0.3875  1.2700  0.7444 -0.5556 -0.1930 -0.7988 -0.0383  0.4451  1.5521 -0.8221
-0.3805  1.2502  0.7253 -0.5835 -0.2989 -0.7898 -0.0992  0.4633  1.5302 -0.6236
-0.3646  1.2245  0.7072 -0.6050 -0.3937 -0.7828 -0.1303  0.4722  1.5044 -0.3396
-0.3511  1.1928  0.6901 -0.6190 -0.4731 -0.7775 -0.1316  0.4771  1.4794  0.0110
-0.3545  1.1550  0.6742 -0.6247 -0.5345 -0.7739 -0.1033  0.4807  1.4606  0.3735

-0.7949 -1.1613 -0.2428  0.8523  1.3967  1.4650 -0.1537 -0.0982  0.0566 -2.0239
-0.7888 -1.1322 -0.2399  0.8977  1.3707  1.4799 -0.2171 -0.0826 -0.2816 -2.0199
-0.7706 -1.1026 -0.2444  0.9089  1.3433  1.4990 -0.2707 -0.0652 -0.5641 -2.0185
-0.7349 -1.0757 -0.2546  0.8847  1.3157  1.5208 -0.3131 -0.0469 -0.7710 -2.0180
-0.6732 -1.0527 -0.2701  0.8289  1.2882  1.5437 -0.3441 -0.0284 -0.9055 -2.0165

-0.0578 -0.5771  0.8206  1.5262 -1.0478 -2.0991  0.2130 -0.5242  0.8632 -0.2644
-0.0027 -0.5742  1.4035  1.5279 -1.6395 -1.7695  0.2343 -0.4866  1.2512 -0.2666
 0.0585 -0.5697  1.7740  1.5291 -2.0272 -1.4126  0.2537 -0.4472  1.5723 -0.2602
 0.1245 -0.5634  1.9528  1.5299 -2.2313 -1.0680  0.2720 -0.4123  1.8081 -0.2476
 0.1935 -0.5553  2.0074  1.5304 -2.3178 -0.7684  0.2897 -0.3852  1.9632 -0.2311

 1.5008 -0.8654
 1.3101 -1.1677
 1.0121 -1.4904
 0.6244 -1.7940
 0.1960 -2.0458
[ CPUFloatType{5,192} ]
