Atom positions and velocities over time grids from ground truth
-0.2254 -1.0530  0.1650  0.0579  0.7079 -1.2395 -0.2667  2.5233 -0.5956 -1.0287
-0.2287 -1.0681  0.1670  0.0603  0.5342 -1.2481 -0.2708  2.5169 -0.6047 -0.9488
-0.2324 -1.0849  0.1690  0.0624  0.3606 -1.2583 -0.2745  2.5105 -0.6093 -0.8743
-0.2366 -1.1007  0.1710  0.0640  0.1939 -1.2700 -0.2778  2.5039 -0.6072 -0.8096
-0.2414 -1.1138  0.1730  0.0653  0.0435 -1.2833 -0.2809  2.4972 -0.5956 -0.7562

-0.9480 -0.5717  2.3132  1.6742  0.6438 -0.1890 -0.0145  0.4491 -0.4305 -0.4144
-0.9138 -0.6629  2.5013  1.6585  0.6201 -0.1948  0.0036  0.4584 -0.4453 -0.3913
-0.8704 -0.7406  2.6251  1.6181  0.5973 -0.2009  0.0467  0.4726 -0.4645 -0.3772
-0.8167 -0.8020  2.6971  1.5385  0.5762 -0.2074  0.1292  0.4902 -0.4864 -0.3702
-0.7542 -0.8470  2.7319  1.4034  0.5575 -0.2143  0.2674  0.5097 -0.5097 -0.3681

 1.8610 -0.9698  1.0362 -0.0019  0.1373  0.3553 -0.2343 -2.4550  0.6602 -2.1552
 1.8620 -1.1279  0.9874  0.0212  0.2786  0.3482 -0.2415 -2.4522  0.6476 -2.1712
 1.8623 -1.2475  0.9336  0.0447  0.3755  0.3424 -0.2489 -2.4628  0.6354 -2.1847
 1.8620 -1.3306  0.8790  0.0674  0.4286  0.3378 -0.2566 -2.4894  0.6237 -2.1946
 1.8612 -1.3835  0.8288  0.0886  0.4421  0.3343 -0.2645 -2.5317  0.6125 -2.2000

-0.8429  0.0984  0.8655  1.5602  0.3209  0.7660 -0.4316  0.0929 -0.1920 -1.3588
-0.8588  0.2856  0.8616  1.3926  0.3248  0.7605 -0.5829  0.1136 -0.1694 -1.3602
-0.8734  0.4389  0.8580  1.2576  0.3288  0.7549 -0.6629  0.1350 -0.1477 -1.3618
-0.8864  0.5520  0.8545  1.1610  0.3330  0.7490 -0.6889  0.1571 -0.1269 -1.3634
-0.8974  0.6273  0.8509  1.0995  0.3373  0.7430 -0.6808  0.1799 -0.1071 -1.3652

-1.0757  1.5772 -1.8337  0.6509  0.5319 -0.7527  0.5791 -0.3300  1.7152 -0.7434
-1.0609  1.6538 -1.7615  0.6016  0.4035 -0.7233  0.5940 -0.3284  1.6907 -0.7624
-1.0254  1.7215 -1.6468  0.5580  0.3153 -0.6568  0.6088 -0.3266  1.6291 -0.7813
-0.9582  1.7788 -1.4878  0.5222  0.2567 -0.5313  0.6233 -0.3248  1.5083 -0.7990
-0.8455  1.8255 -1.2918  0.4948  0.2175 -0.3223  0.6373 -0.3228  1.3039 -0.8139

 1.1984  1.0928 -0.2016  0.8249 -0.6568 -0.6855  1.1819  0.6209 -0.4573  0.9966
 1.2401  1.1434 -0.2022  0.6997 -0.5519 -0.6638  1.2940  0.6082 -0.4771  0.9105
 1.2609  1.2013 -0.2032  0.6069 -0.3975 -0.6435  1.3553  0.5965 -0.4969  0.7835
 1.2672  1.2636 -0.2047  0.5447 -0.2114 -0.6246  1.3567  0.5858 -0.5163  0.6150
 1.2637  1.3273 -0.2066  0.5077 -0.0176 -0.6071  1.2898  0.5759 -0.5353  0.4137

 0.4634 -0.4669 -0.7080  0.4494 -0.5184 -1.4003  0.8983  0.0271 -1.2018 -0.5287
 0.4679 -0.4610 -0.7087  0.6274 -0.5667 -1.5931  0.9016  0.0501 -1.2753 -0.5341
 0.4720 -0.4587 -0.7103  0.7789 -0.6159 -1.7586  0.9048  0.0733 -1.4203 -0.5386
 0.4757 -0.4609 -0.7127  0.8932 -0.6658 -1.8861  0.9077  0.0968 -1.6136 -0.5421
 0.4790 -0.4686 -0.7160  0.9688 -0.7162 -1.9744  0.9105  0.1204 -1.8251 -0.5445

-0.7903 -0.4570
-0.7598 -0.4564
-0.7300 -0.4559
-0.7011 -0.4556
-0.6728 -0.4555
[ CPUFloatType{5,192} ]
Atom positions and velocities over time grids from prediction
 3.7390  0.6983  1.5364  1.4817  3.9162  4.2372  4.7046  3.0100  4.7988  5.2320
 3.7280  0.7012  1.5421  1.4923  3.9309  4.2396  4.7103  3.0038  4.7861  5.2306
 3.7170  0.7041  1.5475  1.5025  3.9451  4.2419  4.7156  2.9975  4.7735  5.2291
 3.7058  0.7068  1.5527  1.5123  3.9589  4.2439  4.7206  2.9911  4.7610  5.2273
 3.6945  0.7093  1.5577  1.5218  3.9722  4.2456  4.7253  2.9846  4.7485  5.2254

 5.0490  0.5822  2.5347  4.1050  4.3047  4.9997  4.1625  1.6635  5.2602  0.9497
 5.0451  0.5700  2.5283  4.1148  4.2904  5.0253  4.1476  1.6796  5.2417  0.9559
 5.0410  0.5580  2.5219  4.1240  4.2762  5.0502  4.1327  1.6952  5.2234  0.9621
 5.0368  0.5460  2.5153  4.1327  4.2620  5.0744  4.1179  1.7104  5.2053  0.9680
 5.0325  0.5342  2.5087  4.1408  4.2480  5.0980  4.1030  1.7252  5.1874  0.9739

 2.4831  1.6019  0.4999  5.2085  0.2571  5.2052  1.0318  2.3938  3.7141  2.5976
 2.4758  1.5859  0.5198  5.2155  0.2550  5.1947  1.0339  2.3948  3.7200  2.5848
 2.4684  1.5701  0.5393  5.2220  0.2528  5.1840  1.0356  2.3955  3.7256  2.5722
 2.4610  1.5546  0.5582  5.2282  0.2504  5.1733  1.0372  2.3959  3.7307  2.5598
 2.4535  1.5393  0.5767  5.2341  0.2480  5.1625  1.0385  2.3962  3.7355  2.5476

 3.9156  5.3377  5.5806  1.8917  4.8020  1.3150  4.4913  0.9821  1.4133  1.7098
 3.9132  5.3639  5.5749  1.8821  4.7931  1.3085  4.5171  0.9991  1.4198  1.7082
 3.9105  5.3894  5.5690  1.8726  4.7841  1.3020  4.5421  1.0158  1.4260  1.7063
 3.9077  5.4142  5.5628  1.8631  4.7749  1.2954  4.5664  1.0320  1.4322  1.7043
 3.9048  5.4384  5.5565  1.8537  4.7656  1.2887  4.5901  1.0479  1.4381  1.7020

 1.5287  2.9281  3.5353  2.8818  3.7851  4.5509  3.4019  4.5272  5.3350  0.7023
 1.5291  2.9330  3.5311  2.8783  3.8047  4.5397  3.4125  4.5277  5.3378  0.7059
 1.5293  2.9377  3.5268  2.8744  3.8236  4.5285  3.4225  4.5280  5.3405  0.7094
 1.5294  2.9422  3.5222  2.8703  3.8419  4.5175  3.4321  4.5281  5.3430  0.7129
 1.5293  2.9465  3.5174  2.8660  3.8595  4.5066  3.4413  4.5280  5.3452  0.7162

 5.0137  4.6231  1.0554  0.0595  0.6416  1.0126  2.6882  0.3066  3.0024  5.1159
 5.0118  4.5979  1.0623  0.0374  0.6330  1.0154  2.6974  0.3213  3.0060  5.1241
 5.0095  4.5732  1.0689  0.0156  0.6243  1.0181  2.7062  0.3356  3.0094  5.1319
 5.0069  4.5488  1.0752 -0.0060  0.6158  1.0208  2.7146  0.3495  3.0125  5.1393
 5.0040  4.5247  1.0813 -0.0273  0.6073  1.0233  2.7227  0.3629  3.0154  5.1463

 3.6662  4.3683  3.6189  5.0545  4.6832  1.8754  4.8606  1.5889  0.1202  0.7048
 3.6611  4.3696  3.6174  5.0409  4.6727  1.8926  4.8430  1.5953  0.1246  0.6979
 3.6558  4.3708  3.6158  5.0273  4.6622  1.9093  4.8255  1.6015  0.1289  0.6908
 3.6502  4.3719  3.6140  5.0137  4.6517  1.9256  4.8082  1.6074  0.1331  0.6837
 3.6443  4.3729  3.6121  5.0001  4.6412  1.9414  4.7910  1.6131  0.1371  0.6766

 2.1647  5.3077  5.5078  1.0878  2.0992  1.4814  0.2260  3.0361  1.4054  3.6885
 2.1710  5.3047  5.5255  1.0803  2.1121  1.4935  0.2241  3.0438  1.4003  3.6822
 2.1771  5.3015  5.5426  1.0727  2.1246  1.5052  0.2221  3.0512  1.3950  3.6757
 2.1829  5.2981  5.5590  1.0650  2.1367  1.5165  0.2200  3.0581  1.3897  3.6689
 2.1884  5.2945  5.5747  1.0573  2.1484  1.5272  0.2179  3.0647  1.3843  3.6619

 3.6485  5.3555  4.9262  3.9803  3.4220  4.0410  3.7079  3.1676  2.7791  2.4720
 3.6619  5.3621  4.9218  3.9898  3.4272  4.0367  3.7010  3.1743  2.7737  2.4561
 3.6749  5.3683  4.9172  3.9989  3.4320  4.0321  3.6940  3.1806  2.7681  2.4403
 3.6873  5.3742  4.9123  4.0076  3.4365  4.0274  3.6868  3.1866  2.7623  2.4245
 3.6993  5.3798  4.9071  4.0159  3.4407  4.0225  3.6795  3.1922  2.7564  2.4089

 5.3011  2.6487  0.6068  3.7815  4.8392  1.0736 -1.1108  0.4111  0.4499  0.8837
 5.3109  2.6494  0.5934  3.7766  4.8319  1.0692 -1.1413  0.2951  0.5837  1.0014
 5.3201  2.6500  0.5802  3.7714  4.8244  1.0647 -1.1611  0.1796  0.7051  1.1055
 5.3289  2.6504  0.5672  3.7659  4.8167  1.0600 -1.1709  0.0646  0.8148  1.1968
 5.3372  2.6507  0.5544  3.7601  4.8088  1.0553 -1.1713 -0.0497  0.9136  1.2760

